element ,geom,x,xend,y,yend,r,curvature,size,color,fill,inverse.x,inverse.y,layer
center.line,segment,0,0,42.5,-42.5,,,1,#C8102E,NA,FALSE,FALSE,1
center.faceoff,circle,0,,0,,0.5,,0.333,#0032A0,#0032A0,FALSE,FALSE,3
center.faceoff,circle,0,,0,,15,,0.333,#0032A0,NA,FALSE,FALSE,1
neutral.faceoff,circle,20,,22,,1,,0.333,#000000,#000000,TRUE,TRUE,1
referee.crease,curve,5,-5,-42.5,-42.5,,0.75,0.333,#C8102E,NA,FALSE,FALSE,1
blue.line,segment,25.25,25.25,42.5,-42.5,,,1,#0032A0,NA,TRUE,FALSE,1
endzone.faceoff,segment,2,2,0.75,3.75,,,0.333,#C8102E,NA,TRUE,TRUE,1
endzone.faceoff,segment,2,6,0.75,0.75,,,0.333,#C8102E,NA,TRUE,TRUE,1
endzone.faceoff,segment,0,0,0,0,,,0.333,#C8102E,NA,TRUE,TRUE,1
endzone.faceoff,circle,69,,22,,15,,0.333,#C8102E,NA,TRUE,TRUE,1
endzone.faceoff,circle,69,,22,,1,,0.333,#C8102E,#C8102E,TRUE,TRUE,1
goal.line,segment,89,89,36.5,-36.5,,,0.333,#C8102E,NA,TRUE,FALSE,2
goal.crease,segment,89,85,4,4,,,0.333,#C8102E,NA,TRUE,TRUE,1
goal.crease,segment,100,89,14,11,,,0.333,#C8102E,NA,TRUE,TRUE,1
goal.crease,curve,85,85,4,-4,,0.3,0.333,#C8102E,NA,TRUE,FALSE,1
goal,segment,89,91.5,3.1,3.1,,,0.2,#000000,NA,TRUE,TRUE,1
goal,segment,92.3,92.3,2.27,-2.27,,,0.2,#000000,NA,TRUE,FALSE,1
goal,curve,91.5,92.3,3.1,2.27,,-0.5,0.2,#000000,NA,TRUE,TRUE,1
rink.edge,segment,69,-69,42.5,42.5,,,1,#000000,NA,FALSE,TRUE,3
rink.edge,segment,100,100,11.5,-11.5,,,1,#000000,NA,TRUE,FALSE,3
rink.edge,curve,100,69,11.5,42.5,,0.5,1,#000000,NA,TRUE,TRUE,3
